SppCode_GAP,ComName_GAP,SciName_GAP,Xwalk_Notes,ComName_WRC,SciName_WRC,CA_4.2.10c,CA_4.2.11c,CA_4.2.12,CA_4.2.13c,CA_4.2.14,CA_4.2.8c,CA_4.2.9c,CT_4.4.1,CT_4.4.11,CT_4.4.13,CT_4.4.14u,CT_4.4.15,CT_4.4.16,CT_4.4.17h,CT_4.4.17s,CT_4.4.17w,CT_4.4.18,CT_4.4.8,CT_4.4.9,CW_4.3.10,CW_4.3.11,CW_4.3.2,CW_4.3.3,CW_4.3.4,CW_4.3.6,CW_4.3.7,CW_4.3.8,CW_4.3.9,CW_4.4.14w,MA_4.2.13a,MA_4.2.13b,MA_4.2.13c,MA_4.2.6a,MA_4.2.7a,MA_4.2.7b,MA_4.2.7c,MA_4.2.8a,MA_4.2.8b,MA_4.2.8c,MA_4.2.9a,MA_4.2.9b,MA_4.2.9c,MT_4.4.1,MT_4.4.10,MT_4.4.11,MT_4.4.12,MT_4.4.17h,MT_4.4.17s,MT_4.4.17w,MT_4.4.18,MT_4.4.2,MT_4.4.3,MT_4.4.4,MT_4.4.5,MT_4.4.6,MT_4.4.7,MT_4.4.8,MW_4.3.1,MW_4.3.10,MW_4.3.5,MW_4.3.9,PA_4.2.13b,PA_4.2.13c,PA_4.2.7b,PA_4.2.7c,PA_4.2.8b,PA_4.2.8c,PA_4.2.9b,PA_4.2.9c,PT_4.4.1,PT_4.4.10,PT_4.4.11,PT_4.4.13,PT_4.4.17h,PT_4.4.18,PT_4.4.5,PT_4.4.8,PT_4.4.9,PW_4.3.10,PW_4.3.5,PW_4.3.9,PT_4.4.17s,PT_4.4.17w,SA_4.2.13c,SA_4.2.7c,SA_4.2.8c,SA_4.2.9c,ST_4.4.1,ST_4.4.11,ST_4.4.13,ST_4.4.17h,ST_4.4.17s,ST_4.4.17w,ST_4.4.18,ST_4.4.9,SW_4.3.11,SW_4.3.4,SW_4.3.5,SW_4.3.7,SW_4.3.8,SW_4.3.9
aBGCSx,Blue Ridge Gray-cheeked Salamander,Plethodon amplus,,Blue Ridge Gray-cheeked Salamander,Plethodon amplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aCHSAx,Cheoah Bald Salamander,Plethodon cheoah,,Cheoah Bald Salamander,Plethodon cheoah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aCSMSx,Chattahoochee Slimy Salamander,Plethodon chattahoochee,,Chattahoochee Slimy Salamander,Plethodon chattahoochee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aDBBSx,Dwarf Black-bellied Salamander,Desmognathus folkertsi,,Dwarf Black-bellied Salamander,Desmognathus folkertsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aETSAx,Eastern Tiger Salamander,Ambystoma tigrinum,,Eastern Tiger Salamander,Ambystoma tigrinum tigrinum,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,
aFTSAx,Four-toed Salamander,Hemidactylium scutatum,,Four-toed Salamander,Hemidactylium scutatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,X,X,,,,,X,X,X,X,,,,,,,,,,,X,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,
mGRMYx,Gray Myotis,Myotis grisescens,,Gray Myotis,Myotis grisescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aGOFRx,Gopher Frog,Lithobates capito,,Gopher Frog,Lithobates capito,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
aHELLa,Eastern Hellbender,Cryptobranchus alleganiensis alleganiensis,,Eastern Hellbender,Cryptobranchus alleganiensis allaganiensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,X,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aIMSAx,Imitator Salamander,Desmognathus imitator,,Imitator Salamander,Desmognathus imitator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aJUSAx,Junaluska Salamander,Eurycea junaluska,,Junaluska Salamander,Eurycea junaluska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,X,X,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aLESIx,Lesser Siren,Siren intermedia,represented as full species in GAP,Eastern Lesser Siren,Siren intermedia intermedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aLTASx,Long-tailed Salamander,Eurycea longicauda,,Long-tailed Salamander,Eurycea longicauda longicauda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,,X,X,,X,,X,X,,,,,,X,X,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aMBSAx,Mabee's Salamander,Ambystoma mabeei,,Mabee's Salamander,Ambystoma mabeei,,,,,,,,,,,,,,,,,,,X,,X,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aMLSAx,Many-lined Salamander,Stereochilus marginatus,,Many-lined Salamander,Stereochilus marginatus,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aMOSAx,Mole Salamander,Ambystoma talpoideum,,Mole Salamander,Ambystoma talpoideum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,X,,,X,,,,,X,,X,X,,,,,,,,,,,X,,,X,,,X,,X,X,,,,,,,,,,,,,,,,,,,,
aMUDPx,Mudpuppy,Necturus maculosus,represented as full species in GAP,Common Mudpuppy,Necturus maculosus maculosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aNRWAx,Neuse River Waterdog,Necturus lewisi,,Neuse River Waterdog,Necturus lewisi,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aNSSAx,Northern Slimy Salamander,Plethodon glutinosus,,Northern Slimy Salamander,Plethodon glutinosus,,,,,,,,,X,,,,,,,,,,X,,X,,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,,X,,X,X,X,,,,,,,X,,,,,,,,,,,,X,,,,,,X,,X,,,,,,,,,,X,,,,,,,,,,,
mRBEBx,Rafinesque's Big-eared Bat,Corynorhinus rafinesquii,,Rafinesque's Big-eared bat,Corynorhinus rafinesquii,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
aPBTRx,Pine Barrens Treefrog,Hyla andersonii,,Pine Barrens Treefrog,Hyla andersonii,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
aPYSAx,Pygmy Salamander,Desmognathus wrighti,Represents both Desmognathus organi and D. wrighti,Northern or Southern Pygmy Salamander,Desmognathus organi or D. wrighti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aRCSAx,Red-cheeked Salamander,Plethodon jordani,,Jordan's Salamander,Plethodon jordani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aRIFRx,River Frog,Lithobates heckscheri,,River Frog,Lithobates heckscheri,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aRLSAx,Red-legged Salamander,Plethodon shermani,,Red-legged Salamander,Plethodon shermani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aSADSx,Santeetlah Dusky Salamander,Desmognathus santeetlah,,Santeetlah Dusky salamander,Desmognathus santeetlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,X,X,,,,,X,X,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aSEESx,Seepage Salamander,Desmognathus aeneus,,Seepage Salamander,Desmognathus aeneus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aSMGSx,South Mountain Gray-cheeked Salamander,Plethodon meridianus,,South Mountain Gray-cheeked Salamander,Plethodon meridianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aSOASx,Southern Appalachian Salamander,Plethodon teyahalee,,Southern Appalachian Salamander,Plethodon teyahalee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,X,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aSOFRx,Southern Chorus Frog,Pseudacris nigrita,,Southern Chorus Frog,Pseudacris nigrita,,,,,,,,,X,X,,,,,,,,,X,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,X,X,X
aSZSAx,Southern Zigzag Salamander,Plethodon ventralis,,Southern Zigzag Salamander,Plethodon ventralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,X,X,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aTESAx,Tellico Salamander,Plethodon aureolus,,Tellico Salamander,Plethodon aureolus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aWHSAx,Wehrle's Salamander,Plethodon wehrlei,,Wehrle's Salamander,Plethodon wehrlei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aWLSAx,Weller's Salamander,Plethodon welleri,,Weller's Salamander,Plethodon welleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aWOFRx,Wood Frog,Rana sylvatica,represented as full species in GAP,Wood Frog - Coastal Plain Pop.,Lithobates sylvaticus pop.3,,,,,,,,,X,,,,,,,,,,X,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aYOSAx,Yonahlossee Salamander,Plethodon yonahlossee,,Yonahlossee Salamander,Plethodon yonahlossee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,X,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bABDUx,American Black Duck,Anas rubripes,,American Black Duck,Anas rubripes,X,X,X,,X,X,X,,,,,,,,,,,,,,,X,X,X?,X,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bACFLx,Acadian Flycatcher,Empidonax virescens,,Acadian Flycatcher,Empidonax virescens,,,,,,,,,,,,,,,,,,,X,,,,X,X,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,X,X,X,X,
bALFLx,Alder Flycatcher,Empidonax alnorum,,Alder Flycatcher,Empidonax alnorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bAMAVx,American Avocet,Recurvirostra americana,,American Avocet,Recurvirostra americana,,,X,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bAMBIx,American Bittern,Botaurus lentiginosus,,American Bittern,Botaurus lentiginosus,,X,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bAMKEx,American Kestrel,Falco sparverius,,American Kestrel,Falco sparverius,,,,,,,,,,X,,,,X,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,
bAMOYx,American Oystercatcher,Haematopus palliatus,,American Oystercatcher,Haematopus palliatus,,,,,,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bATBRx,Brant,Branta bernicla,,Brant,Branta bernicla,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bBACSx,Bachman's Sparrow,Aimophila aestivalis,,Bachman's Sparrow,Peucaea aestivalis,,,,,,,,,,X,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,X,X,X,,,,X?,,,,,
bBAEAx,Bald Eagle,Haliaeetus leucocephalus,,Bald Eagle,Haliaeetus leucocephalus,,X,X,X,,X,,,,,X,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,
bBANOx,Barn Owl,Tyto alba,,Barn Owl,Tyto alba,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
bBANSx,Bank Swallow,Riparia riparia,,Bank Swallow,Riparia riparia,X,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,X?,,,,,,,,,,,,,,,,,,,,X?,X?,,,,,X?,X?,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
bBBPLx,Black-bellied Plover,Pluvialis squatarola,,Black-bellied Plover,Pluvialis squatarola,,,,,,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bBCNHx,Black-crowned Night-heron,Nycticorax nycticorax,,Black-crowned Night-Heron,Nycticorax nycticorax,,X,,,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bBHNUx,Brown-headed Nuthatch,Sitta pusilla,,Brown-headed Nuthatch,Sitta pusilla,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
bBLBWx,Blackburnian Warbler,Dendroica fusca,,Blackburnian Warbler,Setophaga fusca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,
bBLRAx,Black Rail,Laterallus jamaicensis,,Black Rail,Laterallus jamaicensis,,X,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bBLSKx,Black Skimmer,Rynchops niger,,Black Skimmer,Rynchops niger,,,,,X,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bBOBOx,Bobolink,Dolichonyx oryzivorus,,Bobolink,Dolichonyx oryzivorus,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,
bBRBLx,Brewer's Blackbird,Euphagus cyanocephalus,,Brewer's Blackbird,Euphagus cyanocephalus,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bBRPEa,Eastern Brown Pelican,Pelecanus occidentalis carolinensis,represented as Pelecanus occidentalis carolinensis in GAP,Brown Pelican,Pelecanus occidentalis,,,,,X,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bBTNWx,Black-throated Green Warbler,Dendroica virens,represented as full species in GAP,Wayne's Black-throated Green Warbler,Setophaga virens waynei,,,,,,,,,,,,,,,,,,,X,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bCANVx,Canvasback,Aythya valisineria,,Canvasback,Aythya valisineria,X,,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bCATEx,Caspian Tern,Sterna caspia,,Caspian Tern,Hydroprogne caspia,,,,,X,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bCCSPx,Clay-colored Sparrow,Spizella pallida,,Clay-colored Sparrow,Spizella pallida,,,,,,,,,,,,,,X?,X?,,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,,,,,,,,,,,,,,,,,,,,,,,,,,X?,X?,,,,,,,X?,,,,,,,,,X?,X?,,X?,,,,,,,
bCERWx,Cerulean Warbler,Dendroica cerulea,,Cerulean Warbler,Setophaga cerulea,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bCLRAx,Clapper Rail,Rallus longirostris,,Clapper Rail,Rallus longirostris,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
